generation;mean_p;mean_t;meanfrs;meanmrs;varp;vart;covpt;varfrs;varmrs;surviving_males;surviving_females;N;
22940;-0.15254;-0.560156;10;10.0356;0.043825;0.0065719;-3.88675e-05;0;105.543;2323;2534;5000;
22950;-0.155838;-0.55752;10;9.89336;0.0442522;0.0062657;0.00021405;0;110.929;2325;2505;5000;
22960;-0.146458;-0.555391;10;10.0276;0.0424509;0.00615801;0.000940956;0;110.905;2301;2547;5000;
22970;-0.147263;-0.55646;10;10.0317;0.0429622;0.00600441;0.000258334;0;107.893;2341;2529;5000;
22980;-0.147811;-0.550176;10;9.83458;0.0411509;0.00475428;5.13454e-05;0;106.235;2360;2497;5000;
22990;-0.172247;-0.550542;9.86017;9.88386;0.0391704;0.00494502;-8.2181e-05;1.37877;105.113;2378;2468;5000;
23000;-0.162906;-0.547714;10;9.75562;0.0372223;0.00485299;0.000122341;0;105.104;2391;2475;5000;
23010;-0.180263;-0.542958;10;10.0279;0.0434104;0.00472793;-0.00058537;0;104.39;2313;2512;5000;
23020;-0.197579;-0.548503;10;10.206;0.039812;0.00529032;0.000249494;0;117.152;2281;2576;5000;
23030;-0.201776;-0.555498;10;9.65829;0.0429387;0.00533394;-9.57741e-05;0;104.557;2372;2459;5000;
23040;-0.205425;-0.556251;10;9.94829;0.0458097;0.00571684;7.01539e-05;0;108.709;2351;2501;5000;
23050;-0.209067;-0.561172;9.99597;9.82943;0.0456337;0.00614963;0.000130456;0.0403226;107.19;2342;2478;5000;
23060;-0.195637;-0.564524;10;9.8133;0.0454956;0.00621952;-0.000221823;0;112.062;2325;2523;5000;
23070;-0.195073;-0.570151;9.77804;9.95963;0.0441645;0.00628758;4.50773e-05;2.17031;103.511;2363;2467;5000;
23080;-0.191707;-0.570238;9.96752;9.67678;0.0432097;0.00609695;7.68727e-05;0.323752;102.221;2375;2455;5000;
23090;-0.200768;-0.578524;9.8646;9.95179;0.0422551;0.00635105;-2.86403e-06;1.33571;105.422;2371;2477;5000;
23100;-0.187363;-0.582145;9.96436;10.1657;0.042851;0.0067398;1.54496e-05;0.355165;107.326;2309;2516;5000;
23110;-0.197822;-0.588278;9.69567;10.197;0.0411619;0.00765617;0.000129631;2.95069;105.911;2354;2485;5000;
23120;-0.20006;-0.589703;9.94837;10.0927;0.0454833;0.00750608;0.000369137;0.513617;113.489;2311;2505;5000;
23130;-0.209803;-0.589747;9.77848;10;0.042435;0.00704753;-3.38106e-05;2.16612;104.045;2347;2472;5000;
23140;-0.190165;-0.601395;10;9.69141;0.0469543;0.00755467;-0.000376055;0;98.772;2350;2481;5000;
23150;-0.184599;-0.593536;10;9.75148;0.0453481;0.00740924;-8.72285e-05;0;101.437;2349;2472;5000;
23160;-0.213887;-0.601418;9.91252;10.0322;0.0448741;0.00767639;-0.000388107;0.8671;112.836;2324;2493;5000;
23170;-0.222158;-0.606109;10;9.64272;0.0449136;0.00724437;0.000308681;0;105.997;2363;2456;5000;
23180;-0.224553;-0.607312;10;10.1637;0.042941;0.00797937;-4.74418e-05;0;114.71;2281;2545;5000;
23190;-0.22877;-0.608902;9.93663;10.1374;0.0411801;0.0077736;4.79072e-05;0.629648;109.234;2334;2509;5000;
23200;-0.215365;-0.613189;10;9.7341;0.0452667;0.00794547;-0.000103216;0;111.875;2314;2526;5000;
23210;-0.20315;-0.616778;9.82185;10.0283;0.0419927;0.00792652;0.000662636;1.74974;104.486;2312;2481;5000;
23220;-0.198522;-0.609409;10;9.66563;0.0384189;0.00748184;0.000383454;0;105.954;2354;2486;5000;
23230;-0.204172;-0.612792;10;9.67742;0.0353721;0.00715928;-8.30143e-05;0;106.426;2355;2460;5000;
23240;-0.200497;-0.617088;9.90044;9.98795;0.0377333;0.00664603;0.000224049;0.985707;112.214;2326;2486;5000;
23250;-0.199233;-0.619783;9.7381;9.89516;0.0371724;0.00680236;-9.39932e-05;2.55045;104.183;2381;2454;5000;
23260;-0.195065;-0.620711;10;10.004;0.0358009;0.00712983;0.000504001;0;107.702;2331;2507;5000;
23270;-0.19975;-0.623472;9.79283;9.87149;0.0336992;0.00721481;-0.000132708;2.02879;104.642;2358;2458;5000;
23280;-0.210903;-0.627606;9.87367;10.1378;0.0312161;0.0073928;-7.64869e-05;1.24736;107.723;2321;2501;5000;
23290;-0.198767;-0.631518;10;9.9207;0.0340453;0.00760018;0.000533313;0;104.673;2306;2502;5000;
23300;-0.18846;-0.639642;10;9.76817;0.0358116;0.00756217;0.000119468;0;107.412;2327;2486;5000;
23310;-0.182237;-0.649975;10;10.417;0.0339001;0.00883244;0.000170439;0;118.733;2228;2573;5000;
23320;-0.17504;-0.646258;9.95955;9.73892;0.0308841;0.00801799;0.000452854;0.402894;107.922;2347;2462;5000;
23330;-0.187777;-0.650998;9.91154;9.80899;0.0292473;0.00837614;2.10116e-05;0.876775;109.952;2320;2465;5000;
23340;-0.170917;-0.652143;9.81818;9.62376;0.0321106;0.00829378;0.000329886;1.78512;101.997;2359;2430;5000;
23350;-0.166521;-0.664078;10;9.847;0.0313929;0.00881715;0.00066791;0;110.02;2296;2510;5000;
23360;-0.155544;-0.661427;9.66627;9.79863;0.0331132;0.00879955;-8.65772e-05;3.22593;103.222;2369;2433;5000;
23370;-0.156351;-0.663147;9.94726;9.67258;0.0324161;0.00842249;0.000138062;0.524602;102.102;2333;2452;5000;
23380;-0.14479;-0.659676;9.55322;10.136;0.0323607;0.00808892;-0.000234741;4.26815;104.887;2317;2459;5000;
23390;-0.141952;-0.653683;9.75705;10.1716;0.0330007;0.00796237;0.000250242;2.37044;110.837;2284;2490;5000;
23400;-0.141809;-0.668612;9.86656;10.2529;0.0319709;0.00831434;0.000483244;1.31657;110.866;2274;2514;5000;
23410;-0.144654;-0.673221;9.94477;10.2272;0.0319895;0.00864798;1.70386e-05;0.549218;112.159;2271;2521;5000;
23420;-0.144998;-0.674202;9.74603;9.90323;0.0337737;0.00871572;-0.000176569;2.47518;104.265;2314;2456;5000;
23430;-0.141405;-0.674592;9.72571;10.1389;0.0323589;0.00941326;-0.000207225;2.66771;111.255;2274;2482;5000;
23440;-0.143121;-0.676331;9.93631;10.0322;0.033844;0.00934011;0.000776044;0.632886;102.169;2307;2496;5000;
23450;-0.164476;-0.678231;10;10.0836;0.0296031;0.00923451;-1.5742e-05;0;115.684;2248;2532;5000;
23460;-0.167772;-0.679862;10;9.88867;0.0306808;0.00899485;0.00088544;0;109.172;2254;2487;5000;
23470;-0.164853;-0.677669;9.95977;9.84885;0.0312161;0.00954544;0.00011337;0.400635;107.376;2294;2476;5000;
23480;-0.161167;-0.684192;10;10.2422;0.029723;0.0105219;0.000625495;0;115.404;2233;2537;5000;
23490;-0.161741;-0.6834;10;9.97605;0.0315789;0.0115084;0.000314099;0;106.347;2265;2499;5000;
23500;-0.15387;-0.681182;9.66654;10.053;0.0352808;0.0123078;0.00115037;3.22344;104.159;2301;2464;5000;
23510;-0.140936;-0.678971;10;10.185;0.0358691;0.0110263;0.000438073;0;109.057;2228;2532;5000;
23520;-0.130586;-0.679171;10;9.93015;0.0362227;0.0113159;0.000616662;0;114.159;2191;2559;5000;
23530;-0.130462;-0.668774;9.88585;9.52101;0.0367656;0.0111766;-0.000121077;1.12843;102.166;2343;2425;5000;
23540;-0.124489;-0.661132;10;9.96021;0.035868;0.0112747;0.000357581;0;110.384;2301;2503;5000;
23550;-0.110911;-0.665711;9.60205;9.89846;0.0328811;0.0112246;0.000368127;3.82115;104.255;2318;2437;5000;
23560;-0.0999352;-0.649629;10;9.77892;0.0345859;0.0107746;5.99561e-05;0;105.281;2312;2477;5000;
23570;-0.109603;-0.639728;9.85983;9.8362;0.0384811;0.010596;-0.000515157;1.38203;104.688;2318;2462;5000;
23580;-0.107869;-0.644681;10;9.60265;0.0363267;0.0101763;-0.00022244;0;104.867;2349;2465;5000;
23590;-0.107958;-0.635733;9.8184;10.0811;0.038245;0.0106953;0.000625325;1.78305;102.871;2304;2487;5000;
23600;-0.116653;-0.635521;9.79406;9.99192;0.0402028;0.00981311;0.000208872;2.01699;102.707;2332;2473;5000;
23610;-0.120743;-0.634565;10;10.1807;0.0391734;0.00925201;-2.95563e-05;0;109.361;2284;2536;5000;
23620;-0.117855;-0.627332;9.84045;9.89571;0.0392121;0.00881115;0.000877224;1.57008;106.287;2309;2467;5000;
23630;-0.120271;-0.621124;9.83412;10.0891;0.0391322;0.00828304;0.000194094;1.63125;106.313;2303;2490;5000;
23640;-0.10676;-0.608752;10;10.0906;0.0412987;0.00841818;-0.000439125;0;116.409;2278;2563;5000;
23650;-0.0990987;-0.605121;10;10;0.0402979;0.00851359;0.000389784;0;108.409;2277;2533;5000;
23660;-0.0900276;-0.601705;10;9.98028;0.0411649;0.00811486;4.2363e-05;0;109.503;2282;2531;5000;
23670;-0.0732204;-0.593512;10;10.2177;0.0408119;0.00792055;-0.000298297;0;114.261;2281;2535;5000;
23680;-0.0937529;-0.591281;10;10.4101;0.0421418;0.00817936;0.000127449;0;115.179;2266;2564;5000;
23690;-0.102301;-0.582259;10;10.0833;0.0399865;0.00771659;0.000225169;0;110.306;2287;2542;5000;
